Timestamp,AUV_ID,Speed_m/s,Position_X,Position_Y,Position_Z,Battery_Percentage,AUV_State,Covered_Nodes_in_Radius
2025-10-22 08:59:54,0,3.99,250.11,249.88,4.39,99.1,Patrolling,"5, 16"
2025-10-22 08:59:55,0,3.99,250.00,249.53,8.39,98.3,Patrolling,"5, 16"
2025-10-22 08:59:56,0,3.99,249.62,249.28,12.38,97.5,Patrolling,"5, 16"
2025-10-22 08:59:57,0,3.99,249.36,248.83,16.38,96.7,Patrolling,"5, 16"
2025-10-22 08:59:58,0,3.99,249.51,248.34,19.97,96.0,Patrolling,"5, 16"
2025-10-22 08:59:59,0,3.99,249.96,248.18,23.97,95.2,Patrolling,"5, 16"
2025-10-22 09:00:00,0,3.99,250.01,248.53,27.56,94.5,Patrolling,"5, 16"
2025-10-22 09:00:01,0,3.99,250.02,248.69,31.16,93.8,Patrolling,"5, 16"
2025-10-22 09:00:02,0,3.99,249.99,249.02,35.15,93.0,Patrolling,"5, 16"
2025-10-22 09:00:03,0,3.99,250.43,248.91,39.15,92.2,Patrolling,"5, 16"
2025-10-22 09:00:05,0,3.99,250.11,249.35,43.14,91.4,Patrolling,"5, 6, 16"
2025-10-22 09:00:06,0,3.99,249.81,249.18,46.73,90.7,Patrolling,"5, 6, 16"
2025-10-22 09:00:07,0,3.99,250.09,248.99,50.73,89.9,Patrolling,"5, 6, 16"
2025-10-22 09:00:08,0,3.99,250.04,249.15,54.32,89.1,Patrolling,"5, 16"
2025-10-22 09:00:09,0,2.19,250.00,249.05,56.87,88.6,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:10,0,2.19,249.85,248.96,59.06,88.2,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:11,0,2.19,249.76,248.99,61.24,87.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:12,0,2.19,249.57,249.10,63.21,87.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:13,0,2.19,249.86,249.08,65.40,86.9,Patrolling,"5, 16, 27"
2025-10-22 09:00:14,0,2.19,249.97,248.98,67.58,86.5,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:15,0,2.19,249.87,248.72,69.55,86.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:16,0,2.19,249.95,248.86,71.52,85.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:17,0,2.19,250.00,248.90,73.48,85.3,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:18,0,2.19,249.99,248.95,75.45,84.9,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:19,0,2.19,250.13,248.69,77.64,84.5,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:20,0,2.19,249.91,248.80,79.82,84.0,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:22,0,2.19,249.91,248.69,82.01,83.6,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:23,0,2.19,249.72,248.78,84.19,83.2,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:24,0,2.19,249.86,248.81,86.16,82.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:25,0,3.50,249.93,249.02,88.26,82.3,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:26,0,3.50,249.60,249.10,91.41,81.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:27,0,3.50,249.51,249.21,94.56,81.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:28,0,3.50,249.63,249.20,98.06,80.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:29,0,3.50,249.15,249.30,101.56,79.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:30,0,3.50,249.24,249.52,104.72,79.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:31,0,3.50,249.35,249.50,107.87,78.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:32,0,3.50,249.19,249.27,111.02,77.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:33,0,3.50,249.08,249.68,114.17,77.2,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:34,0,3.50,248.87,250.16,117.67,76.5,Patrolling,"5, 6, 16, 25, 27"
2025-10-22 09:00:35,0,3.50,248.75,250.30,120.82,75.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:36,0,3.50,249.16,250.45,124.33,75.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:37,0,3.50,249.03,250.20,127.83,74.4,Patrolling,"5, 6, 16, 25, 27"
2025-10-22 09:00:38,0,3.50,249.39,249.90,131.33,73.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:39,0,3.50,249.16,250.01,134.48,73.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:40,0,1.76,249.48,250.07,137.81,72.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:42,0,1.76,249.46,250.09,139.57,72.1,Patrolling,"5, 6, 16, 25, 27"
2025-10-22 09:00:43,0,1.76,249.38,250.20,141.33,71.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:44,0,1.76,249.20,250.58,143.09,71.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:45,0,1.76,249.12,250.46,144.68,71.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:46,0,1.76,249.21,250.54,146.26,70.7,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:47,0,1.76,249.29,250.62,147.85,70.4,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:48,0,1.76,249.28,250.48,149.43,70.1,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:49,0,1.76,249.42,250.36,151.02,69.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:50,0,1.76,249.55,250.32,152.60,69.5,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:51,0,1.76,249.53,250.53,154.19,69.2,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:52,0,1.76,249.59,250.41,155.77,68.8,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:53,0,1.76,249.60,250.58,157.36,68.5,Patrolling,"16, 27"
2025-10-22 09:00:54,0,1.76,249.41,250.65,158.94,68.2,Patrolling,"5, 16, 27"
2025-10-22 09:00:55,0,1.76,249.26,250.73,160.53,67.9,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:56,0,1.76,249.33,250.86,162.11,67.6,Patrolling,"5, 6, 16, 27"
2025-10-22 09:00:57,0,1.76,249.09,250.81,163.70,67.3,Patrolling,"6, 16, 27"
2025-10-22 09:00:58,0,4.28,248.96,251.00,166.47,66.7,Patrolling,"5, 6, 16, 27"
