Time,Model,Nodes,PDR,RoR,ECR,E2ED
13:36:23,DTC,8,0.9873,0.1028,0.5684,0.2407
13:36:23,DTC,8,0.9367,0.1332,0.5639,0.3714
13:36:23,DTC,8,0.9241,0.1104,0.5542,0.2513
13:36:23,DTC,8,0.8987,0.1125,0.5479,0.2218
13:36:30,DTC,8,0.9873,0.1193,0.5729,0.2788
13:36:30,DTC,8,0.9114,0.1345,0.5575,0.3515
13:36:30,DTC,8,0.9494,0.1311,0.5666,0.3325
13:36:31,DTC,8,0.9620,0.1182,0.5663,0.2883
13:36:44,DTC,8,0.9494,0.1222,0.5641,0.3064
13:36:44,DTC,8,1.0000,0.1271,0.5782,0.3366
13:36:44,DTC,8,0.9114,0.1473,0.5612,0.3581
13:36:45,DTC,8,1.0000,0.1136,0.5745,0.2661
13:36:57,DTC,8,0.9494,0.1038,0.5590,0.2345
13:36:57,DTC,8,0.9747,0.0894,0.5616,0.1941
13:36:57,DTC,8,0.9241,0.0974,0.5506,0.2343
13:36:58,DTC,8,0.8734,0.1334,0.5467,0.2974
13:37:05,DTC,8,0.9747,0.1175,0.5693,0.2847
13:37:05,DTC,8,0.9873,0.1174,0.5724,0.2938
13:37:11,DTC,8,0.9494,0.1228,0.5643,0.2882
13:37:11,DTC,8,0.9873,0.0950,0.5663,0.2201
13:37:20,SVM,8,0.9747,0.1020,0.5650,0.2257
13:37:20,SVM,8,0.8608,0.1162,0.5382,0.2294
13:37:20,SVM,8,0.8987,0.1348,0.5542,0.3414
13:37:20,SVM,8,0.8354,0.1387,0.5372,0.3061
13:37:29,SVM,8,0.8861,0.1371,0.5513,0.3226
13:37:29,SVM,8,0.8608,0.1426,0.5457,0.2933
13:37:29,SVM,8,0.9494,0.1304,0.5664,0.3165
13:37:29,SVM,8,0.9620,0.1264,0.5686,0.3012
13:37:38,SVM,8,0.9747,0.1231,0.5708,0.3024
13:37:38,SVM,8,0.9747,0.1318,0.5733,0.3257
13:37:38,SVM,8,0.9114,0.1492,0.5618,0.3509
13:37:38,SVM,8,1.0000,0.1185,0.5758,0.2696
13:37:47,SVM,8,0.9367,0.1151,0.5588,0.2616
13:37:47,SVM,8,0.8987,0.1027,0.5452,0.2347
13:37:47,SVM,8,0.9873,0.0904,0.5650,0.2124
13:37:47,SVM,8,0.8354,0.1365,0.5366,0.3015
13:37:54,SVM,8,1.0000,0.1210,0.5765,0.3113
13:37:54,SVM,8,0.9747,0.1187,0.5696,0.2800
13:38:01,SVM,8,0.9620,0.0999,0.5612,0.2125
13:38:01,SVM,8,0.9620,0.1227,0.5675,0.2909
13:38:14,RF,8,0.9747,0.1060,0.5661,0.2385
13:38:14,RF,8,0.9114,0.1118,0.5512,0.2440
13:38:14,RF,8,0.9367,0.1294,0.5629,0.3569
13:38:14,RF,8,0.9114,0.1138,0.5517,0.2649
13:38:26,RF,8,0.8987,0.1328,0.5536,0.3118
13:38:26,RF,8,0.9873,0.1199,0.5731,0.2918
13:38:26,RF,8,0.9620,0.1188,0.5664,0.2882
13:38:26,RF,8,0.9494,0.1285,0.5659,0.3343
13:38:38,RF,8,0.9747,0.1219,0.5705,0.3319
13:38:39,RF,8,0.9241,0.1449,0.5639,0.3721
13:38:39,RF,8,1.0000,0.1265,0.5780,0.3198
13:38:39,RF,8,1.0000,0.1148,0.5748,0.2678
13:38:51,RF,8,0.9747,0.1001,0.5645,0.2348
13:38:52,RF,8,1.0000,0.0959,0.5696,0.2150
13:38:52,RF,8,0.8734,0.1328,0.5465,0.2943
13:38:52,RF,8,0.9241,0.0974,0.5506,0.2338
13:39:02,RF,8,0.9873,0.1174,0.5724,0.2938
13:39:02,RF,8,0.9747,0.1175,0.5693,0.2847
13:39:11,RF,8,0.9873,0.0930,0.5657,0.2240
13:39:11,RF,8,0.9494,0.1247,0.5648,0.2945
13:39:18,BASELINE,8,0.8608,0.1365,0.5440,0.1148
13:39:18,BASELINE,8,0.8481,0.1465,0.5432,0.1298
13:39:18,BASELINE,8,0.8228,0.1362,0.5327,0.1166
13:39:18,BASELINE,8,0.7595,0.1696,0.5225,0.1193
13:39:24,BASELINE,8,0.7722,0.1687,0.5264,0.1266
13:39:25,BASELINE,8,0.8354,0.1525,0.5412,0.1323
13:39:25,BASELINE,8,0.8354,0.1619,0.5440,0.1335
13:39:25,BASELINE,8,0.9114,0.1467,0.5610,0.1376
13:39:32,BASELINE,8,0.8608,0.1553,0.5494,0.1403
13:39:32,BASELINE,8,0.8987,0.1535,0.5596,0.1526
13:39:32,BASELINE,8,0.8354,0.1698,0.5463,0.1454
13:39:32,BASELINE,8,0.8861,0.1629,0.5588,0.1385
13:39:39,BASELINE,8,0.7595,0.1608,0.5199,0.1296
13:39:39,BASELINE,8,0.8101,0.1395,0.5298,0.1139
13:39:39,BASELINE,8,0.9367,0.1433,0.5668,0.1325
13:39:39,BASELINE,8,0.6962,0.1729,0.5018,0.1345
13:39:44,BASELINE,8,0.8987,0.1497,0.5585,0.1285
13:39:44,BASELINE,8,0.9620,0.1327,0.5703,0.1245
13:39:49,BASELINE,8,0.7975,0.1614,0.5323,0.1300
13:39:50,BASELINE,8,0.8861,0.1424,0.5529,0.1163
13:40:18,DTC,23,0.9620,0.1745,0.3493,0.4075
13:40:18,DTC,23,0.9873,0.1333,0.3442,0.3496
13:40:18,DTC,23,0.9873,0.1719,0.3545,0.4658
13:40:19,DTC,23,1.0000,0.1522,0.3521,0.4198
13:40:36,DTC,23,0.9494,0.1591,0.3421,0.3916
13:40:37,DTC,23,1.0000,0.1494,0.3513,0.3984
13:40:37,DTC,23,0.9367,0.1567,0.3385,0.4101
13:40:37,DTC,23,0.9494,0.1718,0.3456,0.3784
13:41:06,DTC,23,0.9747,0.1336,0.3414,0.2835
13:41:07,DTC,23,1.0000,0.1579,0.3536,0.4168
13:41:07,DTC,23,1.0000,0.1744,0.3581,0.4814
13:41:07,DTC,23,1.0000,0.1348,0.3475,0.3509
13:41:26,DTC,23,0.9873,0.1504,0.3487,0.3903
13:41:27,DTC,23,1.0000,0.1459,0.3504,0.3874
13:41:27,DTC,23,1.0000,0.1307,0.3464,0.3246
13:41:27,DTC,23,0.9747,0.1409,0.3432,0.3367
13:41:55,DTC,23,1.0000,0.1528,0.3522,0.3987
13:41:56,DTC,23,1.0000,0.1390,0.3485,0.3560
13:42:09,DTC,23,1.0000,0.1562,0.3532,0.4095
13:42:10,DTC,23,0.9620,0.1532,0.3436,0.3888
13:42:29,SVM,23,0.9494,0.1809,0.3481,0.4183
13:42:29,SVM,23,0.9873,0.1315,0.3437,0.3217
13:42:29,SVM,23,0.9873,0.1619,0.3518,0.3782
13:42:29,SVM,23,1.0000,0.1295,0.3461,0.3151
13:42:48,SVM,23,0.9620,0.1508,0.3429,0.3424
13:42:48,SVM,23,0.9367,0.1543,0.3379,0.3824
13:42:48,SVM,23,1.0000,0.1384,0.3484,0.3616
13:42:49,SVM,23,0.9873,0.1516,0.3490,0.3996
13:43:17,SVM,23,0.9620,0.1111,0.3327,0.2209
13:43:17,SVM,23,1.0000,0.1471,0.3507,0.3768
13:43:17,SVM,23,1.0000,0.1690,0.3566,0.4407
13:43:18,SVM,23,0.9873,0.1333,0.3442,0.3227
13:43:37,SVM,23,1.0000,0.1500,0.3515,0.3667
13:43:37,SVM,23,1.0000,0.1319,0.3467,0.3179
13:43:37,SVM,23,1.0000,0.1161,0.3426,0.2705
13:43:38,SVM,23,0.9873,0.1309,0.3436,0.3030
13:43:52,SVM,23,0.9620,0.1660,0.3470,0.4047
