Timestamp,AUV_ID,Speed_m/s,Position_X,Position_Y,Position_Z,Battery_Percentage,AUV_State,Covered_Nodes_in_Radius
2025-11-15 13:03:16,0,3.32,250.55,249.93,3.32,99.3,Patrolling,
2025-11-15 13:03:16,1,3.11,375.35,249.70,3.11,99.4,Patrolling,
2025-11-15 13:03:16,2,4.46,499.99,250.05,4.46,99.1,Patrolling,
2025-11-15 13:03:17,0,3.32,250.44,249.91,6.31,98.7,Patrolling,
2025-11-15 13:03:17,1,3.11,375.59,249.67,5.90,98.8,Patrolling,
2025-11-15 13:03:17,2,4.46,499.99,250.56,8.47,98.3,Patrolling,19
2025-11-15 13:03:18,0,3.32,250.18,249.67,9.63,98.1,Patrolling,
2025-11-15 13:03:18,1,3.11,375.94,249.84,9.01,98.2,Patrolling,
2025-11-15 13:03:18,2,4.46,500.11,250.72,12.93,97.4,Patrolling,19
2025-11-15 13:03:19,0,3.32,250.26,249.76,12.95,97.4,Patrolling,
2025-11-15 13:03:19,1,3.11,375.62,250.21,12.12,97.6,Patrolling,
2025-11-15 13:03:19,2,4.46,500.06,250.77,17.39,96.5,Patrolling,19
2025-11-15 13:03:20,0,3.32,250.43,250.01,16.27,96.7,Patrolling,
2025-11-15 13:03:20,1,3.11,375.75,250.32,15.23,97.0,Patrolling,
2025-11-15 13:03:20,2,4.46,500.17,250.93,21.85,95.6,Patrolling,19
2025-11-15 13:03:21,0,3.32,250.37,249.67,19.26,96.1,Patrolling,
2025-11-15 13:03:21,1,3.11,375.60,250.40,18.02,96.4,Patrolling,
2025-11-15 13:03:21,2,4.46,500.41,251.48,25.87,94.8,Patrolling,19
2025-11-15 13:03:22,0,3.32,250.18,249.46,22.59,95.5,Patrolling,
2025-11-15 13:03:22,1,3.11,376.20,250.72,21.13,95.8,Patrolling,19
2025-11-15 13:03:22,2,4.46,500.49,252.08,30.33,93.9,Patrolling,19
2025-11-15 13:03:24,0,3.32,250.29,249.41,25.91,94.8,Patrolling,
2025-11-15 13:03:24,1,3.11,376.23,250.50,24.24,95.2,Patrolling,
2025-11-15 13:03:24,2,4.46,500.72,252.20,34.79,93.0,Patrolling,19
2025-11-15 13:03:25,0,3.32,250.31,249.28,29.23,94.2,Patrolling,16
2025-11-15 13:03:25,1,3.11,375.85,250.69,27.35,94.5,Patrolling,19
2025-11-15 13:03:25,2,4.46,500.70,252.45,39.25,92.2,Patrolling,19
2025-11-15 13:03:26,0,3.32,250.49,249.34,32.55,93.5,Patrolling,
2025-11-15 13:03:26,1,3.11,376.01,250.33,30.45,93.9,Patrolling,
2025-11-15 13:03:26,2,4.46,500.81,252.45,43.71,91.3,Patrolling,19
2025-11-15 13:03:27,0,3.32,250.77,249.41,35.54,92.9,Patrolling,
2025-11-15 13:03:27,1,3.11,376.28,250.32,33.25,93.4,Patrolling,
2025-11-15 13:03:27,2,4.46,501.12,252.81,47.73,90.5,Patrolling,19
2025-11-15 13:03:28,0,3.32,251.12,249.50,38.86,92.2,Patrolling,16
2025-11-15 13:03:28,1,3.11,376.08,250.46,36.36,92.7,Patrolling,19
2025-11-15 13:03:28,2,4.46,501.01,252.79,52.19,89.6,Patrolling,19
2025-11-15 13:03:29,0,3.32,251.19,249.28,42.18,91.6,Patrolling,16
2025-11-15 13:03:29,1,3.11,376.51,249.97,39.47,92.1,Patrolling,19
2025-11-15 13:03:29,2,4.46,501.00,252.30,56.64,88.7,Patrolling,19
2025-11-15 13:03:30,0,3.32,251.08,249.23,45.50,90.9,Patrolling,16
2025-11-15 13:03:30,1,3.11,376.58,249.88,42.57,91.5,Patrolling,
2025-11-15 13:03:30,2,4.46,500.62,251.95,61.10,87.8,Patrolling,19
2025-11-15 13:03:31,0,1.52,251.21,249.28,47.93,90.4,Patrolling,16
2025-11-15 13:03:31,1,3.11,376.75,249.89,45.68,90.9,Patrolling,
2025-11-15 13:03:31,2,4.46,500.72,251.72,65.56,86.9,Patrolling,19
2025-11-15 13:03:32,0,1.52,251.19,249.33,49.45,90.1,Patrolling,16
2025-11-15 13:03:32,1,3.11,376.59,249.48,48.79,90.2,Patrolling,
2025-11-15 13:03:32,2,3.35,501.02,251.69,69.47,86.1,Patrolling,19
2025-11-15 13:03:33,0,1.52,251.07,249.14,50.97,89.8,Patrolling,16
2025-11-15 13:03:33,1,3.77,376.38,249.42,52.42,89.5,Patrolling,
2025-11-15 13:03:33,2,3.35,501.12,251.73,72.82,85.4,Patrolling,19
2025-11-15 13:03:34,0,1.52,251.13,249.09,52.49,89.5,Patrolling,16
2025-11-15 13:03:34,1,3.77,376.57,249.47,56.19,88.8,Patrolling,
2025-11-15 13:03:34,2,3.35,501.50,252.06,76.18,84.8,Patrolling,19
2025-11-15 13:03:35,0,1.52,251.13,248.97,54.01,89.2,Patrolling,16
2025-11-15 13:03:35,1,3.77,376.82,249.41,59.95,88.0,Patrolling,19
2025-11-15 13:03:35,2,3.35,501.31,252.34,79.53,84.1,Patrolling,19
2025-11-15 13:03:36,0,1.52,250.95,249.01,55.53,88.9,Patrolling,16
2025-11-15 13:03:36,1,3.77,377.25,249.61,63.72,87.3,Patrolling,19
2025-11-15 13:03:36,2,3.35,501.30,252.73,82.89,83.4,Patrolling,19
2025-11-15 13:03:37,0,1.52,251.19,248.80,57.05,88.6,Patrolling,16
2025-11-15 13:03:37,1,3.77,377.02,248.98,67.49,86.5,Patrolling,19
2025-11-15 13:03:37,2,3.35,501.32,252.80,86.24,82.8,Patrolling,19
2025-11-15 13:03:38,0,1.52,251.09,248.73,58.57,88.3,Patrolling,16
2025-11-15 13:03:38,1,3.77,377.06,249.27,71.25,85.8,Patrolling,
2025-11-15 13:03:38,2,3.35,500.85,252.53,89.59,82.1,Patrolling,19
2025-11-15 13:03:39,0,1.52,251.02,248.68,59.94,88.0,Patrolling,16
2025-11-15 13:03:39,1,3.77,377.11,249.38,74.64,85.1,Patrolling,
2025-11-15 13:03:39,2,3.35,501.14,252.53,92.61,81.5,Patrolling,19
2025-11-15 13:03:41,0,1.52,251.11,248.91,61.46,87.7,Patrolling,16
2025-11-15 13:03:41,1,3.77,376.84,249.35,78.40,84.3,Patrolling,19
2025-11-15 13:03:41,2,3.35,501.35,252.64,95.97,80.8,Patrolling,
2025-11-15 13:03:42,0,1.52,251.11,249.09,62.99,87.4,Patrolling,16
2025-11-15 13:03:42,1,3.77,376.70,249.40,82.17,83.6,Patrolling,
2025-11-15 13:03:42,2,3.35,501.33,252.11,99.32,80.1,Patrolling,19
2025-11-15 13:03:43,0,1.52,251.12,249.12,64.35,87.1,Patrolling,16
